log_rate_clusters log_rate_planets_per_cluster power_law_P power_law_r1 power_law_r2 sigma_hk sigma_incl sigma_incl_near_mmr sigma_log_radius_in_cluster sigma_logperiod_per_pl_in_cluster rate mult period pratio tdur logxi depth dratio dabove dbelow dratio_above dratio_below dratio_across dist_tot_weighted
0.117508 0.128563 -0.463323 -0.589797 -4.879290 0.005455 1.251390 6.896530 0.205735 0.148862 0.000460 0.018897 0.032289 0.060323 0.049089 0.046904 0.034074 0.115662 0.121888 0.059512 0.105388 0.139744 0.186613 13.749440
0.066724 0.227261 -0.409499 -0.526885 -5.056810 0.006620 1.224770 8.728340 0.247227 0.161071 0.000067 0.017434 0.028911 0.060057 0.051939 0.052083 0.044430 0.129526 0.125080 0.052417 0.119938 0.110171 0.179724 13.755496
-0.181323 0.707408 -0.288516 -0.399846 -5.533190 0.018427 4.843770 0.234761 0.225022 0.175031 0.000197 0.017435 0.035365 0.062062 0.047210 0.056235 0.036140 0.124364 0.127288 0.040380 0.106394 0.123896 0.221934 13.765009
0.084036 0.226532 -0.427473 -0.585938 -5.026900 0.011909 1.478460 7.590030 0.217890 0.145351 0.000097 0.017755 0.037012 0.069675 0.045103 0.057382 0.037089 0.116078 0.126974 0.060520 0.107719 0.108979 0.192657 13.768482
0.302875 -0.199564 -0.418050 -0.693043 -4.757100 0.006325 2.335030 0.309508 0.213501 0.186879 0.000090 0.013808 0.039791 0.074944 0.051111 0.044193 0.038355 0.127859 0.127724 0.060528 0.117617 0.167241 0.160269 13.773498
0.097179 0.206510 -0.439980 -0.623505 -4.948630 0.003865 1.135670 8.785210 0.212660 0.166142 0.000162 0.020046 0.036430 0.057645 0.047363 0.050101 0.038111 0.121383 0.125975 0.061657 0.109205 0.134544 0.226927 13.783914
-0.086708 0.412106 -0.497607 -0.461026 -5.846730 0.002437 1.459880 9.213900 0.262976 0.162299 0.000095 0.019195 0.036931 0.052678 0.041348 0.061415 0.038005 0.137190 0.135286 0.039853 0.137035 0.152134 0.206194 13.786398
0.031566 0.226865 -0.454170 -0.394890 -5.812180 0.005524 1.505180 7.018640 0.230441 0.148015 0.000237 0.020773 0.030282 0.066697 0.042956 0.059619 0.033939 0.119873 0.129944 0.047637 0.099924 0.148224 0.212293 13.793204
-0.180703 0.415540 -0.540484 -0.242402 -5.582940 0.021303 3.679770 0.197062 0.218005 0.168356 0.000235 0.015649 0.050868 0.051316 0.030457 0.058231 0.039641 0.134022 0.134267 0.044015 0.107045 0.145833 0.245121 13.800249
-0.351894 1.282690 -0.123723 -0.577442 -4.389300 0.025642 5.975320 0.218640 0.260842 0.148740 0.000097 0.016529 0.033637 0.057838 0.054137 0.059627 0.043563 0.108976 0.119643 0.079964 0.097822 0.105187 0.225409 13.804292
